src_name,src_domain,src_clia,persona,apollo_id,contact_name,contact_first_name,contact_email,contact_title,contact_linkedin_url,contact_phone
"LABORATORY CORPORATION OF AMERICA, HOLDINGS",locations.labcorp.com,49D2132919,medical_director,66f76d0d27096c0001321334,Shakti Ra***n,Shakti,(require direct fetch),"CLIA Laboratory Medical Director, Labcorp Oncology (OmniSeq), Buffalo, NY",,(require direct fetch)
CSL PLASMA INC,cslplasma.com,49D2166676,lab_director,61083d471df82d0001b52c6d,Jose Pi***a,Jose,(require direct fetch),Associate Director of Operations & Quality,,(require direct fetch)
LABCORP ASHBURN PSC,locations.labcorp.com,49D2303441,ceo_owner,66f86cdca817d6000182e10c,Imran Ali,Imran,(require direct fetch),"Senior Vice President, Global Head Early Development Research Operations and Country Head India",,(require direct fetch)
LABCORP ASHBURN PSC,locations.labcorp.com,49D2303441,medical_director,66f76d0d27096c0001321334,Shakti Ra***n,Shakti,(require direct fetch),"CLIA Laboratory Medical Director, Labcorp Oncology (OmniSeq), Buffalo, NY",,(require direct fetch)
QUEST DIAGNOSTICS INC,locations.questdiagnostics.com,49D2319490,ceo_owner,6817a25a77b32a00011d69ca,Karthik Ku***y,Karthik,(require direct fetch),"Senior Vice President, Clinical Solutions",,(require direct fetch)
QUEST DIAGNOSTICS VANCOUVER CRL,locations.questdiagnostics.com,50D2317774,ceo_owner,6817a25a77b32a00011d69ca,Karthik Ku***y,Karthik,(require direct fetch),"Senior Vice President, Clinical Solutions",,(require direct fetch)
VIRGINIA MASON FRANCISCAN HEALTH,vmfh.org,50D2318379,ceo_owner,66d773c93b57060001177018,Matthew Pa***C,Matthew,(require direct fetch),Hospital President,,(require direct fetch)
VIRGINIA MASON FRANCISCAN HEALTH,vmfh.org,50D2318379,medical_director,680c6b484264790001caf962,Bhanu Gu***a,Bhanu,(require direct fetch),Northwest Regional Advanced Heart Failure Medical Director,,(require direct fetch)
LABCORP,locations.labcorp.com,50D2326407,ceo_owner,66f86cdca817d6000182e10c,Imran Ali,Imran,(require direct fetch),"Senior Vice President, Global Head Early Development Research Operations and Country Head India",,(require direct fetch)
LABCORP,locations.labcorp.com,50D2326407,medical_director,66f76d0d27096c0001321334,Shakti Ra***n,Shakti,(require direct fetch),"CLIA Laboratory Medical Director, Labcorp Oncology (OmniSeq), Buffalo, NY",,(require direct fetch)
VIRGINIA MASON FRANCISCAN HEALTH EMERGENCY &,euc.vmfh.org,50D2333889,ceo_owner,66d773c93b57060001177018,Matthew Pa***C,Matthew,(require direct fetch),Hospital President,,(require direct fetch)
VIRGINIA MASON FRANCISCAN HEALTH EMERGENCY &,euc.vmfh.org,50D2333889,medical_director,680c6b484264790001caf962,Bhanu Gu***a,Bhanu,(require direct fetch),Northwest Regional Advanced Heart Failure Medical Director,,(require direct fetch)
INCYTE PATHOLOGY - SPOKANE VALLEY BRANCH,incytepathology.com,50D2335139,medical_director,66fdded95e0d170001df9f8d,Brandon Pe***n,Brandon,(require direct fetch),"Medical Director, South Wheel Technical Center",,(require direct fetch)
INCYTE PATHOLOGY - AUBURN MEDICAL CENTER BRANCH,incytepathology.com,50D2337475,medical_director,66fdded95e0d170001df9f8d,Brandon Pe***n,Brandon,(require direct fetch),"Medical Director, South Wheel Technical Center",,(require direct fetch)
INCYTE PATHOLOGY - GOOD SAMARITAN HOSPITAL BRANCH,incytepathology.com,50D2337480,medical_director,66fdded95e0d170001df9f8d,Brandon Pe***n,Brandon,(require direct fetch),"Medical Director, South Wheel Technical Center",,(require direct fetch)
CASCADE PATHOLOGY SERVICES - ALLENMORE,sonichealthcareusa.com,50D2339163,ceo_owner,6700aba693082e00014bb48d,Brad Tu***s,Brad,(require direct fetch),Vice President of Sales Anatomic Pathology,,(require direct fetch)
CASCADE PATHOLOGY SERVICES - TACOMA,sonichealthcareusa.com,50D2339267,ceo_owner,6700aba693082e00014bb48d,Brad Tu***s,Brad,(require direct fetch),Vice President of Sales Anatomic Pathology,,(require direct fetch)
CHARLESTON AREA MEDICAL CENTER CANCER CENTER,camc.org,51D0877096,ceo_owner,66f82477a8551a00013a08f5,Chad Ho***s,Chad,(require direct fetch),Vice President Finance,,(require direct fetch)
CHARLESTON AREA MEDICAL CENTER CANCER CENTER,camc.org,51D0877096,lab_director,54c1b1bb7468691639e10837,Connie Cr***e,Connie,(require direct fetch),Corporate Lab Director,,(require direct fetch)
